Country,WMO_Region,Region_URL
NIGERIA,WMO_Region_1_Africa,https://climate.onebuilding.org/WMO_Region_1_Africa/NGA_Nigeria/
BANGLADESH,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/BGD_Bangladesh/
MEXICO,WMO_Region_4_North_and_Central_America,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/
GHANA,WMO_Region_1_Africa,https://climate.onebuilding.org/WMO_Region_1_Africa/GHA_Ghana/
INDIA,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/IND_India/
KAZAKHSTAN,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/KAZ_Kazakhstan/
UNITED STATES,WMO_Region_4_North_and_Central_America,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/USA_United_States_of_America/
EGYPT,WMO_Region_1_Africa,https://climate.onebuilding.org/WMO_Region_1_Africa/EGY_Egypt/
ALGERIA,WMO_Region_1_Africa,https://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/
IRAQ,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/IRQ_Iraq/
BRAZIL,WMO_Region_3_South_America,https://climate.onebuilding.org/WMO_Region_3_South_America/
CZECH REPUBLIC,WMO_Region_6_Europe,https://climate.onebuilding.org/WMO_Region_6_Europe/
ARGENTINA,WMO_Region_3_South_America,https://climate.onebuilding.org/WMO_Region_3_South_America/ARG_Argentina/
CANADA,WMO_Region_4_North_and_Central_America,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/
KOREA,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/KOR_South_Korea/
HONG KONG S. A. R.,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/HKG_Hong_Kong/
PANAMA,WMO_Region_4_North_and_Central_America,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/PAN_Panama/
HONDURAS,WMO_Region_4_North_and_Central_America,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/HND_Honduras/
SENEGAL,WMO_Region_1_Africa,https://climate.onebuilding.org/WMO_Region_1_Africa/SEN_Senegal/
MACAU S. A. R.,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/MAC_Macau/
QATAR,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/QAT_Qatar/
SOUTH AFRICA,WMO_Region_1_Africa,https://climate.onebuilding.org/WMO_Region_1_Africa/ZAF_South_Africa/
MAURITIUS,WMO_Region_1_Africa,https://climate.onebuilding.org/WMO_Region_1_Africa/MUS_Mauritius/
JAPAN,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/JPN_Japan/
CHINA,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/CHN_China/
PAKISTAN,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/PAK_Pakistan/
BAHRAIN,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/BHR_Bahrain/
CONGO,WMO_Region_1_Africa,https://climate.onebuilding.org/WMO_Region_1_Africa/COG_Congo-Brazzaville/
KUWAIT,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/KWT_Kuwait/
AUSTRALIA,WMO_Region_5_South-West_Pacific,https://climate.onebuilding.org/WMO_Region_5_Southwest_Pacific/AUS_Australia/
KENYA,WMO_Region_1_Africa,https://climate.onebuilding.org/WMO_Region_1_Africa/KEN_Kenya/
MONACO,WMO_Region_6_Europe,https://climate.onebuilding.org/WMO_Region_6_Europe/MCO_Monaco/
RUSSIAN FEDERATION,WMO_Region_6_Europe,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/
GERMANY,WMO_Region_6_Europe,https://climate.onebuilding.org/WMO_Region_6_Europe/DEU_Germany/
ZAMBIA,WMO_Region_1_Africa,https://climate.onebuilding.org/WMO_Region_1_Africa/ZMB_Zambia/
NORWAY,WMO_Region_6_Europe,https://climate.onebuilding.org/WMO_Region_6_Europe/NOR_Norway/
HAITI,WMO_Region_4_North_and_Central_America,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/HTI_Haiti/
GABON,WMO_Region_1_Africa,https://climate.onebuilding.org/WMO_Region_1_Africa/GAB_Gabon/
COLOMBIA,WMO_Region_3_South_America,https://climate.onebuilding.org/WMO_Region_3_South_America/COL_Colombia/
MOROCCO,WMO_Region_1_Africa,https://climate.onebuilding.org/WMO_Region_1_Africa/MAR_Morocco/
SAUDI ARABIA,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/SAU_Saudi_Arabia/
ITALY,WMO_Region_6_Europe,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/
UNITED ARAB EMIRATES,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/ARE_United_Arab_Emirates/
BULGARIA,WMO_Region_6_Europe,https://climate.onebuilding.org/WMO_Region_6_Europe/BGR_Bulgaria/
TAIWAN,WMO_Region_2_Asia,https://climate.onebuilding.org/WMO_Region_2_Asia/TWN_Taiwan/
CAMEROON,WMO_Region_1_Africa,https://climate.onebuilding.org/WMO_Region_1_Africa/CMR_Cameroon/
SWITZERLAND,WMO_Region_6_Europe,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/
